lr-SGD,step,train_loss,epoch,test_loss,test_acc
0.004014210957518097,49,,,,
,49,1.9306503534317017,0,,
0.004058001004917433,99,,,,
,99,1.801904320716858,0,,
0.004131349063076661,149,,,,
,149,1.5511360168457031,0,,
0.004234209910212408,199,,,,
,199,1.653568983078003,0,,
0.004366520128818316,249,,,,
,249,1.7509297132492065,0,,
0.004528198144764239,299,,,,
,299,1.7391209602355957,0,,
0.004719144277589737,349,,,,
,349,1.6838160753250122,0,,
0.004939240801960704,399,,,,
,399,1.4152963161468506,0,,
0.005188352020251447,449,,,,
,449,1.6866323947906494,0,,
,496,,0,1.3502968549728394,0.5090000033378601
